id,length,atomic_fraction,structure__id,structure__nsites,structure__nelement,structure__density,structure__spacegroup,structure__formula_full,structure__formula_reduced,structure__chemical_system,structure__formula_anonymous,structure__e_above_hull,structure__hostlattice__dimension,structure__matprojdata2__band_gap,structure__matprojdata2__cost_per_mol,structure__matprojdata2__cost_per_kg,structure__prototype2__name,structure__prototype2__formula_reduced,structure__prototype3__number,empiricalmeasures__dimensionality,empiricalmeasures__dimensionality_cumlengths,empiricalmeasuresb__ewald_energyb,empiricalmeasures__ionic_radii_overlap_cations,empiricalmeasures__ionic_radii_overlap_anions,relative__length,relative__barrier,vaspcalca__energy_barrier,empcorbarrier__barrier,vaspcalcb__energy_barrier
84,4.7566964918102554,0.6666666666666666,mp-241,3,2,6.029135394724406,225,Cd1 F2,CdF2,Cd-F,AB2,0.0,0.0,,0.37679615364578734,2.5051635469899387,Fluorite,CaF2,,3,3,3.1156316810801172,-0.30608144010180993,0.4230870043256654,0.7320508075688766,1.1412317900699973,2.2964446099999947,1.379748090889997,
21,3.1459585968076027,0.6666666666666666,mp-30009,3,2,3.1571609619348173,139,Kr1 F2,KrF2,F-Kr,AB2,0.005982596666666007,0.0,2.9322999999999997,24.371334115353793,200.10158761396912,C2Ca,CaC2,,2,3,,,,0.12547923214037723,0.0,1.3397482699999976,0.8545218002299988,
40,2.932949,0.6666666666666666,mp-981,3,2,4.133836694658421,225,Sr1 F2,SrF2,F-Sr,AB2,0.0,3.0,6.7761,0.6420727235541136,5.111360033556784,Fluorite,CaF2,,3,3,-1.7402581485297617,0.2583946608762888,-0.3345528595249303,0.0,0.0,1.2713918400000068,0.8169941201600038,1.1377152099999535
8,3.3207473927201994,0.5,mp-682,2,2,2.6926725736656083,225,Na1 F1,NaF,F-Na,AB,0.0,3.0,6.0951,0.09404076890510152,2.2396966427246605,VN,VN,,3,3,-1.2436169644466304,0.3998999123385658,0.4178687723131862,0.0,0.0,1.7528981400000134,1.0813410788600075,1.5006413800000473
41,2.758025999999999,0.6666666666666666,mp-2741,3,2,3.0898325922098584,225,Ca1 F2,CaF2,Ca-F,AB2,0.0,3.0,7.2479,0.15848650372123047,2.0299314347835518,Fluorite,CaF2,,3,3,-1.8142828085245242,0.2366816698831764,-0.3113157406901177,0.0,0.0,1.2644408100000248,0.8131780046900137,1.103817079999999
15,3.427083524688595,0.5,mp-10634,2,2,4.81590221017716,216,Cu1 F1,CuF,Cu-F,AB,0.34138023500000214,0.0,0.0,0.4162330617441587,5.04253523863384,"Zincblende, Sphalerite",ZnS,,3,3,-0.12108019613447141,0.18636573965245695,0.6974703899767647,0.0,0.012409854030002498,0.5252886300000057,0.40738345787000313,
13,4.073112,0.5,mp-1187763,2,2,13.62815246644957,187,U1 F1,UF,F-U,AB,0.8481167530555567,3.0,0.0,,,,,599.0,1,3,,,,0.36697052112893264,0.8908416301499915,1.9984135699999683,1.2161290499299826,
17,2.939695,0.6666666666666666,mp-504731,3,2,6.208351323676009,225,Eu1 F2,EuF2,Eu-F,AB2,0.0,3.0,0.0,4.841583722102853,25.4872771680127,Fluorite,CaF2,,3,3,-1.7162412410963555,0.25137741764732846,-0.33863313553498786,0.0,0.0,1.0504664700000035,0.695706092030002,0.9123203800000965
6,3.454966,0.5,mp-2064,2,2,4.206235403562466,221,Rb1 F1,RbF,F-Rb,AB,0.09946696999999993,3.0,6.2488,13247.714888083761,126813.40459267203,,CsCl,,3,3,-1.7279468307222032,0.4225896847659296,-0.4057989290699,0.0,0.0,1.0820638700000131,0.7130530646300073,
24,3.2589550000000007,0.5,mp-8454,2,2,2.7871830652009835,221,K1 F1,KF,F-K,AB,0.1030206800000002,3.0,6.641,0.50804649171243,8.744842028970758,,CsCl,,3,3,-1.8274559268099324,0.3975458165552812,-0.380525965647879,0.0,0.0,1.0553182399999912,0.6983697137599952,
92,3.216897865237486,0.6666666666666666,mp-22885,3,2,3.8709130007164902,139,Xe1 F2,XeF2,F-Xe,AB2,0.0,0.0,2.8242999999999996,236.39731404208223,1396.4060751845484,C2Ca,CaC2,,2,3,,,,0.048643731427676085,0.0,1.2485371799999996,0.8044469118199998,
71,2.826404,0.6666666666666666,mp-8177,3,2,8.773296534472575,225,Hg1 F2,HgF2,F-Hg,AB2,0.0,0.0,1.1702000000000001,6.127732121658387,25.68344920759206,Fluorite,CaF2,,3,3,-1.7745892250379143,0.2412991312812185,-0.31973046801888083,0.0,0.0,0.11055750999999958,0.17969607298999976,0.08605546999999092
19,3.9723957890582864,0.3333333333333333,mp-35612,3,3,10.452191076373326,216,Pu1 O1 F1,PuOF,F-O-Pu,ABC,0.09431456999999988,3.0,0.0,,,half-Heusler,MgAgAs,,3,3,,,,,,2.7393377799999996,1.62289644122,
80,2.7462800000000005,0.6666666666666666,mp-241,3,2,6.029135394724406,225,Cd1 F2,CdF2,Cd-F,AB2,0.0,0.0,,0.37679615364578734,2.5051635469899387,Fluorite,CaF2,,3,3,-1.8055586345183485,0.23793311460346178,-0.3149309771216964,0.0,0.0,0.2176981799999993,0.23851630081999964,0.1978334700000346
98,3.8471007100727177,0.3333333333333333,mp-38194,3,3,5.110313462328682,216,Y1 O1 F1,YOF,F-O-Y,ABC,0.05588136166666757,3.0,5.6838,2.7935023185226258,22.545762351162058,half-Heusler,MgAgAs,,3,3,3.824669323588978,0.25966127121524174,0.5512161457035236,,,4.070862210000001,2.3539033532900007,
100,2.8676960000000005,0.6666666666666666,mp-1206711,3,2,6.631336839213577,225,Sm1 F2,SmF2,F-Sm,AB2,0.3442157672222246,3.0,0.0,2.1599181230295796,11.467162589225133,Fluorite,CaF2,,3,3,-1.7662617741779059,0.24967779861136252,-0.3227775923204286,0.0,0.49010451525001086,1.1403360200000066,0.7450444749800036,
52,4.188561160494139,0.6666666666666666,mp-1207087,3,2,5.65331172065107,225,La1 F2,LaF2,F-La,AB2,0.2188486346296319,3.0,0.0,0.7338822701223862,4.148517957545063,Fluorite,CaF2,,3,3,1.4326240359354756,,,0.41421356237309537,0.04273388000998568,1.325637769999986,0.8467751357299923,
77,2.998629,0.6666666666666666,mp-315,3,2,7.550325952759587,225,Pb1 F2,PbF2,F-Pb,AB2,0.0,0.0,,0.48431412360863146,1.9752056761535377,Fluorite,CaF2,,3,3,-1.693424953643671,0.2532519783425493,-0.35940761670009547,0.0,0.0,0.7704653000000121,0.5419854497000067,0.8360273700000107
37,4.225556987285819,0.3333333333333333,mp-36526,3,3,8.154735060396597,216,Ac1 O1 F1,AcOF,Ac-F-O,ABC,0.0,3.0,,,,half-Heusler,MgAgAs,,3,3,2.4762655980780437,0.2904478204208689,0.6190662619888299,,,3.4357456000000184,2.00522433440001,
121,4.49739809361235,0.6666666666666666,mp-282,3,2,4.072181500448822,225,Ti1 F2,TiF2,F-Ti,AB2,0.24847353074073641,3.0,0.4421999999999997,0.6012378235682251,7.00222653739702,Fluorite,CaF2,,3,3,3.3092297319884665,-0.27664816345942045,0.4308620636040974,0.7320508075688769,0.8019612367200151,3.2049422800000116,1.8785133117200066,
51,2.96176,0.6666666666666666,mp-1207087,3,2,5.65331172065107,225,La1 F2,LaF2,F-La,AB2,0.2188486346296319,3.0,0.0,0.7338822701223862,4.148517957545063,Fluorite,CaF2,,3,3,-1.7109131267911266,,,0.0,0.0,1.247798280000012,0.8040412557200066,
96,4.806372190014418,0.6666666666666666,mp-22885,3,2,3.8709130007164902,139,Xe1 F2,XeF2,F-Xe,AB2,0.0,0.0,2.8242999999999996,236.39731404208223,1396.4060751845484,C2Ca,CaC2,,3,3,,,,0.5667802582208629,0.5429044859400035,2.237434240000006,1.3473513977600033,
118,2.596574000000001,0.6666666666666666,mp-282,3,2,4.072181500448822,225,Ti1 F2,TiF2,F-Ti,AB2,0.24847353074073641,3.0,0.4421999999999997,0.6012378235682251,7.00222653739702,Fluorite,CaF2,,3,3,-1.9261198335616996,0.22087145033623656,-0.31409349273458975,0.0,0.0,1.7441749999999843,1.0765520749999915,2.3225122500000452
18,4.157356538240376,0.6666666666666666,mp-504731,3,2,6.208351323676009,225,Eu1 F2,EuF2,Eu-F,AB2,0.0,3.0,0.0,4.841583722102853,25.4872771680127,Fluorite,CaF2,,3,3,1.4086583575104328,0.28561620110793573,0.5790560501708781,0.41421356237309515,0.5400429277499894,2.034151219999984,1.2357490197799914,
120,3.6721101665053575,0.6666666666666666,mp-282,3,2,4.072181500448822,225,Ti1 F2,TiF2,F-Ti,AB2,0.24847353074073641,3.0,0.4421999999999997,0.6012378235682251,7.00222653739702,Fluorite,CaF2,,3,3,1.7518781232587628,0.25026838531672513,0.5305778462732582,0.4142135623730948,0.8758722942000188,3.3395708000000184,1.9524243692000103,
72,3.9971388695455654,0.6666666666666666,mp-8177,3,2,8.773296534472575,225,Hg1 F2,HgF2,F-Hg,AB2,0.0,0.0,1.1702000000000001,6.127732121658387,25.68344920759206,Fluorite,CaF2,,3,3,1.546793189625049,0.2740287419719034,0.5767186942721412,0.414213562373095,0.8544886947899991,1.667003219999998,1.034184767779999,0.633116479999984
102,4.055534575963076,0.6666666666666666,mp-1206711,3,2,6.631336839213577,225,Sm1 F2,SmF2,F-Sm,AB2,0.3442157672222246,3.0,0.0,2.1599181230295796,11.467162589225133,Fluorite,CaF2,,3,3,1.935627920819968,0.27596499568595867,0.579574889129518,0.41421356237309515,0.47001552921000556,1.1037440599999968,0.7249554889399983,
28,3.1415399999999987,0.6666666666666666,mp-1029,3,2,4.694963403401797,225,Ba1 F2,BaF2,Ba-F,AB2,0.0,3.0,6.6235,0.10369656574016468,0.5914574175934615,Fluorite,CaF2,,3,3,-1.632532497030894,0.2678755698086013,-0.38532252602865036,0.0,0.0,1.2189371300000005,0.7881964843700003,1.0950812199999973
35,4.008000029704589,0.3333333333333333,mp-34976,3,3,6.387064874712009,216,Ce1 O1 F1,CeOF,Ce-F-O,ABC,0.0816761166666673,3.0,0.0,0.6777510892537838,3.870346466714167,half-Heusler,MgAgAs,,3,3,2.4722789332564616,0.27261196582697345,0.5805022148575594,,,2.9174962499999992,1.7207054412499998,
7,4.886059774737923,0.5,mp-2064,2,2,4.206235403562466,221,Rb1 F1,RbF,F-Rb,AB,0.09946696999999993,3.0,6.2488,13247.714888083761,126813.40459267203,,CsCl,,3,3,-0.38173065838608977,0.8291669236858841,0.8868461972396067,0.4142135623730951,1.4242560032699993,3.676337100000012,2.1373090679000066,
25,4.608858360163611,0.5,mp-8454,2,2,2.7871830652009835,221,K1 F1,KF,F-K,AB,0.1030206800000002,3.0,6.641,0.50804649171243,8.744842028970758,,CsCl,,3,3,-0.39419828756143716,0.7840206735520869,0.8367786127398498,0.4142135623730949,1.4354885213100057,3.670051430000001,2.133858235070001,
53,4.77704116059596,0.6666666666666666,mp-2741,3,2,3.0898325922098584,225,Ca1 F2,CaF2,Ca-F,AB2,0.0,3.0,7.2479,0.15848650372123047,2.0299314347835518,Fluorite,CaF2,,3,3,3.2523493489224222,-0.11444578950154272,0.5404792616910421,0.7320508075688777,0.9766443899700004,3.0433923400000253,1.789822394660014,2.0176735400000325
73,4.078109667059237,0.3333333333333333,mp-35555,3,3,6.021367722110591,216,La1 O1 F1,LaOF,F-La-O,ABC,0.06110506500000046,3.0,4.764,0.7013891158456151,4.03321399983862,half-Heusler,MgAgAs,,3,3,2.5851933675821783,0.2802637002214907,0.5957776567950259,,,3.4758930399999883,2.0272652789599936,
50,4.777041160595958,0.6666666666666666,mp-2741,3,2,3.0898325922098584,225,Ca1 F2,CaF2,Ca-F,AB2,0.0,3.0,7.2479,0.15848650372123047,2.0299314347835518,Fluorite,CaF2,,3,3,10.490664165020206,0.3326986680030246,1.2387774766096273,0.7320508075688771,4.9414252389299795,10.265215379999987,5.754603243619993,
12,4.083428,0.5,mp-1138,2,2,2.530430195901122,225,Li1 F1,LiF,F-Li,AB,0.0,3.0,8.7195,0.5999544616806687,23.129077306142502,VN,VN,,3,3,6.3105388970146805,0.5105207141890709,1.348508426201931,0.0,1.580635018890006,13.381883630000004,7.465654112870003,
62,2.0618254990164027,0.6666666666666666,mp-975644,3,2,2.8515143945066543,191,Be1 F2,BeF2,Be-F,AB2,2.5181230088888915,1.0,0.0,4.107180455903335,87.37010935812201,,,4890.0,2,2,-2.8129178278163067,0.19374721291153696,-0.6281076960203866,0.0,0.0,-2.3098336399999937,-1.1490986683599966,
27,4.383300000000001,0.6666666666666666,mp-30009,3,2,3.1571609619348173,139,Kr1 F2,KrF2,F-Kr,AB2,0.005982596666666007,0.0,2.9322999999999997,24.371334115353793,200.10158761396912,C2Ca,CaC2,,2,3,,,,0.5681430528828486,0.4306618257299999,2.1241960399999975,1.2851836259599987,
16,4.846628,0.5,mp-10634,2,2,4.81590221017716,216,Cu1 F1,CuF,Cu-F,AB,0.34138023500000214,0.0,0.0,0.4162330617441587,5.04253523863384,"Zincblende, Sphalerite",ZnS,,3,3,1.974070776806684,0.0792593400146413,1.0540441860162848,0.41421356237309487,0.0,0.5026841600000012,0.39497360384000063,
10,4.696246,0.5,mp-682,2,2,2.6926725736656083,225,Na1 F1,NaF,F-Na,AB,0.0,3.0,6.0951,0.09404076890510152,2.2396966427246605,VN,VN,,3,3,5.326326713061292,0.6149310631103686,1.622308702983424,0.41421356237309503,4.196243514689991,9.396328949999997,5.2775845935499985,
31,3.619726281941495,0.5,mp-1009009,2,2,2.5687798004040814,221,Li1 F1,LiF,F-Li,AB,0.2875420599999998,3.0,7.519500000000001,0.5999544616806687,23.129077306142502,,CsCl,,3,3,-0.43039103085197894,0.5998293884323482,0.6403634706291794,0.414213562373095,2.2635505575899892,4.619719439999983,2.6552259725599905,
59,2.6495368872805867,0.6666666666666666,mp-1147672,3,2,3.3292427274113243,123,Cu1 F2,CuF2,Cu-F,AB2,0.10848685666667013,0.0,0.0,0.4511901236200784,4.443348965545234,,,264.0,2,2,-0.23370264475994418,0.07630588375485248,-0.2116856290792084,0.0,0.0,0.39710469999999987,0.3370104802999999,
26,2.559533,0.5,mp-1009009,2,2,2.5687798004040814,221,Li1 F1,LiF,F-Li,AB,0.2875420599999998,3.0,7.519500000000001,0.5999544616806687,23.129077306142502,,CsCl,,3,3,-2.287813061514271,0.3099837155029419,-0.2806427853268092,0.0,0.0,0.496676530000002,0.39167541497000113,0.44730184999991707
76,4.895475330715906,0.6666666666666666,mp-8177,3,2,8.773296534472575,225,Hg1 F2,HgF2,F-Hg,AB2,0.0,0.0,1.1702000000000001,6.127732121658387,25.68344920759206,Fluorite,CaF2,,3,3,3.0009366478568325,-0.26549517516032317,0.46634336565996737,0.7320508075688774,0.9447305478300011,1.8313781800000015,1.1244266208200009,1.0326387300000022
29,4.442808474737574,0.6666666666666666,mp-1029,3,2,4.694963403401797,225,Ba1 F2,BaF2,Ba-F,AB2,0.0,3.0,6.6235,0.10369656574016468,0.5914574175934615,Fluorite,CaF2,,3,3,1.3962816868126993,0.3096774300763565,0.6557504000891727,0.414213562373096,0.6049061907300007,2.320769900000002,1.393102675100001,
119,2.7456754245244195,0.6666666666666666,mp-1097884,3,2,1.9265529149656253,65,Be1 F2,BeF2,Be-F,AB2,0.48087841222222494,1.0,6.2782,4.107180455903335,87.37010935812201,,,91.0,1,3,4.192657945862379,-0.8874872818423567,-0.594960241665369,0.26126951030102863,0.6885688552200099,2.2658758100000114,1.3629658196900063,
30,4.552239989631589,0.6666666666666666,mp-30009,3,2,3.1571609619348173,139,Kr1 F2,KrF2,F-Kr,AB2,0.005982596666666007,0.0,2.9322999999999997,24.371334115353793,200.10158761396912,C2Ca,CaC2,,3,3,,,,0.6285820078014888,0.5662461981600013,2.37116211,1.4207679983900001,
61,3.93774472835302,0.3333333333333333,mp-37381,3,3,7.1290603748695665,216,Sm1 O1 F1,SmOF,F-O-Sm,ABC,0.055045295000000216,3.0,5.5421,2.127424968752808,11.477396326242175,half-Heusler,MgAgAs,,3,3,2.8098671117671756,0.26725838901807286,0.5695552565172339,,,4.03466911000001,2.334033341390006,
23,3.8750851680449543,0.3333333333333333,mp-1227052,3,3,2.424832014765198,216,Ca1 H1 F1,CaHF,Ca-F-H,ABC,0.02062425166667392,3.0,4.7217,0.12493047844482673,2.0792517956325107,half-Heusler,MgAgAs,,3,3,1.9723443320148135,,,,,2.552105069999996,1.520105683429998,
14,5.001157500696813,0.5,mp-1138,2,2,2.530430195901122,225,Li1 F1,LiF,F-Li,AB,0.0,3.0,8.7195,0.5999544616806687,23.129077306142502,VN,VN,,3,3,5.120244308783128,0.37175016223700186,1.232633516402773,0.224744871391589,0.0,10.502767019999993,5.885019093979997,
44,3.998273068822589,0.3333333333333333,mp-35208,3,3,6.585385433268296,216,Nd1 O1 F1,NdOF,F-Nd-O,ABC,0.05430110666666721,3.0,5.2925,8.331335966608869,46.481505897390996,half-Heusler,MgAgAs,,3,3,2.7744580959738414,0.2718816156922972,0.5810554743845175,,,3.143963990000003,1.8450362305100019,
105,4.96699517266204,0.6666666666666666,mp-1206711,3,2,6.631336839213577,225,Sm1 F2,SmF2,F-Sm,AB2,0.3442157672222246,3.0,0.0,2.1599181230295796,11.467162589225133,Fluorite,CaF2,,3,3,11.368153236214596,0.3234082631991271,1.2733588879942597,0.7320508075688773,3.0224374025400094,5.7529642300000035,3.277377362270002,
128,3.644044561094355,0.6666666666666666,mp-1097884,3,2,1.9265529149656253,65,Be1 F2,BeF2,Be-F,AB2,0.48087841222222494,1.0,6.2782,4.107180455903335,87.37010935812201,,,91.0,2,3,5.178011981301097,-0.6962729419758107,-0.16424759070274986,0.6739496074568616,1.6382139632099961,3.9956483199999866,2.3126109276799927,
43,3.9004377745776164,0.6666666666666666,mp-2741,3,2,3.0898325922098584,225,Ca1 F2,CaF2,Ca-F,AB2,0.0,3.0,7.2479,0.15848650372123047,2.0299314347835518,Fluorite,CaF2,,3,3,1.8130097568103167,0.2600523903477008,0.5505898480552394,0.4142135623730949,0.9817027826399967,3.0526061700000184,1.7948807873300103,
68,3.2240291924128477,0.6666666666666666,mp-975644,3,2,2.8515143945066543,191,Be1 F2,BeF2,Be-F,AB2,2.5181230088888915,1.0,0.0,4.107180455903335,87.37010935812201,,,4890.0,3,3,-1.7854311987873075,0.4815691490049798,0.3046410448842196,0.5636770395704565,1.5824544652799934,0.5725970799999942,0.4333557969199968,
409,2.40961897998169,0.75,mp-865194,4,2,9.017004740459456,139,Tm1 F3,TmF3,F-Tm,AB3,0.0,3.0,5.507199999999999,506.90750101048764,2243.654244246392,,,4849.0,3,3,-1.4422679894657335,0.17145815220182925,0.17015308136054008,0.0,0.0,0.7732845800000234,0.5435332344200129,
86,2.6513484948539867,0.6666666666666666,mp-554355,3,2,3.0505171320080255,123,Ca1 F2,CaF2,Ca-F,AB2,0.24025145999999964,3.0,,0.15848650372123047,2.0299314347835518,,,2193.0,2,2,-1.2800855052314546,0.17110114018598654,-0.21944821067762454,0.0,0.0,0.791150679999987,0.5533417233199929,
161,2.9316379999999995,0.75,mp-13181,4,2,6.455412773002927,225,La1 F3,LaF3,F-La,AB3,0.18141721833333335,3.0,,0.7688393319983057,3.924638412862352,alpha bismuth trifluoride,BiF3,,3,3,-2.0331138921999923,0.3447015112873206,0.33575344887383896,0.1547005383792511,0.8752233432600083,1.9924578300000064,1.2128593486700037,
206,4.392318,0.25,mp-28650,4,3,3.639105174752634,123,Cs1 Br2 F1,CsBr2F,Br-Cs-F,ABC2,0.0,3.0,2.2352999999999996,8214.293438763205,26352.200942009957,,,1975.0,2,2,,,,,,1.4407321300000007,0.9099619393700005,
393,3.724155,0.25,mp-1206733,4,3,2.983555858791912,123,Y2 O1 F1,Y2OF,F-O-Y,ABC2,0.8574556520833339,0.0,0.0,5.549583667570183,26.077706051841396,,,1023.0,2,2,,,,,,0.9306822399999959,0.6299445497599978,
63,3.607305,0.6666666666666666,mp-1147672,3,2,3.3292427274113243,123,Cu1 F2,CuF2,Cu-F,AB2,0.10848685666667013,0.0,0.0,0.4511901236200784,4.443348965545234,,,264.0,1,3,3.4921177681485744,-0.8112761250257128,-0.4851827315660544,0.36148510228987263,0.5083245021600016,1.3230145400000026,0.8453349824600015,
99,4.020887585645799,0.6666666666666666,mp-554355,3,2,3.0505171320080255,123,Ca1 F2,CaF2,Ca-F,AB2,0.24025145999999964,3.0,,0.15848650372123047,2.0299314347835518,,,2193.0,3,3,1.5804203990799692,0.21844290873993,0.43279857955490986,0.5165443522230125,1.075614870870011,2.750376310000007,1.628956594190004,
140,4.039223892818271,0.25,mp-1018096,4,3,5.336167356595046,166,Ba2 N1 F1,Ba2NF,Ba-F-N,ABC2,0.010370603541666412,2.0,1.1299000000000001,0.10448288385189294,0.33960602108392285,Caswellsilverite,NaCrS2,,2,2,-2.5443434472488775,0.3686151047522781,0.47029974611705416,,,1.8344452599999954,1.1261104477399975,
65,2.478556,0.6666666666666666,mp-975644,3,2,2.8515143945066543,191,Be1 F2,BeF2,Be-F,AB2,2.5181230088888915,1.0,0.0,4.107180455903335,87.37010935812201,,,4890.0,1,3,-2.2798093932026404,0.2578427709927218,-0.36127615450239814,0.20211725055413252,0.26397032822999744,-1.8290133699999984,-0.8851283401299992,
117,2.395898,0.6666666666666666,mp-1097884,3,2,1.9265529149656253,65,Be1 F2,BeF2,Be-F,AB2,0.48087841222222494,1.0,6.2782,4.107180455903335,87.37010935812201,,,91.0,1,1,0.7815318831027867,0.05957329692091373,-0.5888474605169729,0.10059370827294148,0.0,1.0116520299999934,0.6743969644699964,
70,3.571186520637465,0.6666666666666666,mp-975644,3,2,2.8515143945066543,191,Be1 F2,BeF2,Be-F,AB2,2.5181230088888915,1.0,0.0,4.107180455903335,87.37010935812201,,,4890.0,2,3,-3.7129031894208993,0.7126360754279979,0.35283765488036556,0.732050807568878,0.6782627966399994,-1.0743822799999947,-0.4708358717199972,
