Prototype,Notes,POSCAR
AsCu3S4,"Enargite (AsCu3S4,
H
2
5
) Structure","AB3C4_oP16_31_a_ab_2ab & a,b/a,c/a,y1,z1,y2,z2,y3,z3,y4,z4,x5,y5,z5,x6,y6,z6 --params=7.43,0.869448183042,0.831763122476,0.8268,0.0,0.1514,0.4983,0.8226,0.6454,0.1436,0.1166,0.2466,0.3255,-0.0134,0.2598,0.3364,0.6184 & Pmn2_1     C_{2v}^7 #31 (a^4b^2) & oP16 & H2_5 & AsCu3S4 & Enargite & G. Adiwidjaja and J. L""{o}hn, Acta Cryst. B 26, 1878-1879 (1970)
   1.0000000000000000
   7.43000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   6.46000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   6.18000000000000
   As   Cu    S
    2    6    8
Direct
   0.00000000000000   0.82680000000000   0.00000000000000   As    (2a)
   0.50000000000000   0.17320000000000   0.50000000000000   As    (2a)
   0.00000000000000   0.15140000000000   0.49830000000000   Cu    (2a)
   0.50000000000000   0.84860000000000   0.99830000000000   Cu    (2a)
   0.24660000000000   0.32550000000000   0.98660000000000   Cu    (4b)
   0.25340000000000   0.67450000000000   0.48660000000000   Cu    (4b)
   0.74660000000000   0.67450000000000   0.48660000000000   Cu    (4b)
   0.75340000000000   0.32550000000000   0.98660000000000   Cu    (4b)
   0.00000000000000   0.82260000000000   0.64540000000000    S    (2a)
   0.50000000000000   0.17740000000000   0.14540000000000    S    (2a)
   0.00000000000000   0.14360000000000   0.11660000000000    S    (2a)
   0.50000000000000   0.85640000000000   0.61660000000000    S    (2a)
   0.24020000000000   0.66360000000000   0.11840000000000    S    (4b)
   0.25980000000000   0.33640000000000   0.61840000000000    S    (4b)
   0.74020000000000   0.33640000000000   0.61840000000000    S    (4b)
   0.75980000000000   0.66360000000000   0.11840000000000    S    (4b)"
Cu3S4V,"Sulvanite (Cu3S4V,
H
2
4
) Structure","A3B4C_cP8_215_d_e_a & a,x3 --params=5.3912,0.2372 & P(-4)3m   T_d^1 #215 (ade) & cP8 & H2_4 & Cu3S4V & Sulvanite & F. J. Trojer, Am. Mineral. 51, 890-894 (1966)
   1.0000000000000000
   5.39120000000000   0.00000000000000   0.00000000000000
   0.00000000000000   5.39120000000000   0.00000000000000
   0.00000000000000   0.00000000000000   5.39120000000000
   Cu    S    V
    3    4    1
Direct
   0.00000000000000   0.00000000000000   0.50000000000000   Cu    (3d)
   0.00000000000000   0.50000000000000   0.00000000000000   Cu    (3d)
   0.50000000000000   0.00000000000000   0.00000000000000   Cu    (3d)
   0.23720000000000   0.23720000000000   0.23720000000000    S    (4e)
   0.23720000000000   0.76280000000000   0.76280000000000    S    (4e)
   0.76280000000000   0.23720000000000   0.76280000000000    S    (4e)
   0.76280000000000   0.76280000000000   0.23720000000000    S    (4e)
   0.00000000000000   0.00000000000000   0.00000000000000    V    (1a)"
Cu3Ti,"β
–TiCu3 (
D
0
a
) Structure","A3B_oP8_59_bf_a & a,b/a,c/a,z1,z2,x3,z3 --params=5.162,0.842115459124,0.877760557923,0.67125,0.329,0.505,0.174 & Pmmn       D_{2h}^{13} #59 (abf) & oP8 & D0_a & TiCu3 & beta & N. Karlsson, J. Inst. Met. 79, 391 (1951)
   1.0000000000000000
   5.16200000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.34700000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.53100000000000
   Cu   Ti
    6    2
Direct
   0.25000000000000   0.75000000000000   0.32900000000000   Cu    (2b)
   0.75000000000000   0.25000000000000   0.67100000000000   Cu    (2b)
  -0.00500000000000   0.25000000000000   0.17400000000000   Cu    (4f)
   0.49500000000000   0.75000000000000   0.82600000000000   Cu    (4f)
   0.50500000000000   0.25000000000000   0.17400000000000   Cu    (4f)
   1.00500000000000   0.75000000000000   0.82600000000000   Cu    (4f)
   0.25000000000000   0.25000000000000   0.67125138656800   Ti    (2a)
   0.75000000000000   0.75000000000000   0.32874861343200   Ti    (2a)"
AsK3S4,AsK3S4 Structure,"AB3C4_oP32_33_a_3a_4a & a,b/a,c/a,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8 --params=9.11,1.01866081229,1.1613611416,0.2187,0.4807,0.2031,0.4418,0.2052,0.0015,0.4488,0.1967,0.4146,0.1422,0.9176,0.2246,0.191,0.2506,0.2228,0.3424,0.5361,0.0415,0.0069,0.5876,0.2212,0.3355,0.546,0.3761 & Pna2_1    C_{2v}^9 #33 (a^8) & oP32 & & AsK3S4 & & M. Palazzi, S. Jaulmes and P. Laruelle, Acta Cryst. B 30, 2378-2381 (1974)
   1.0000000000000000
   9.11000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   9.28000000000000   0.00000000000000
   0.00000000000000   0.00000000000000  10.58000000000000
   As    K    S
    4   12   16
Direct
   0.21870000000000   0.48070000000000   0.20310000000000   As    (4a)
   0.28130000000000  -0.01930000000000   0.70310000000000   As    (4a)
   0.71870000000000   0.01930000000000   0.20310000000000   As    (4a)
   0.78130000000000   0.51930000000000   0.70310000000000   As    (4a)
   0.05820000000000   0.70520000000000   0.50150000000000    K    (4a)
   0.44180000000000   0.20520000000000   0.00150000000000    K    (4a)
  -0.44180000000000   0.79480000000000   0.50150000000000    K    (4a)
   0.94180000000000   0.29480000000000   0.00150000000000    K    (4a)
   0.05120000000000   0.69670000000000   0.91460000000000    K    (4a)
   0.44880000000000   0.19670000000000   0.41460000000000    K    (4a)
  -0.44880000000000   0.80330000000000   0.91460000000000    K    (4a)
   0.94880000000000   0.30330000000000   0.41460000000000    K    (4a)
  -0.14220000000000   0.08240000000000   0.72460000000000    K    (4a)
   0.14220000000000   0.91760000000000   0.22460000000000    K    (4a)
   0.35780000000000   0.41760000000000   0.72460000000000    K    (4a)
   0.64220000000000  -0.41760000000000   0.22460000000000    K    (4a)
   0.19100000000000   0.25060000000000   0.22280000000000    S    (4a)
  -0.19100000000000   0.74940000000000   0.72280000000000    S    (4a)
   0.30900000000000   0.75060000000000   0.72280000000000    S    (4a)
   0.69100000000000   0.24940000000000   0.22280000000000    S    (4a)
   0.15760000000000   0.03610000000000   0.54150000000000    S    (4a)
  -0.34240000000000   0.46390000000000   0.54150000000000    S    (4a)
   0.34240000000000   0.53610000000000   0.04150000000000    S    (4a)
   0.84240000000000  -0.03610000000000   0.04150000000000    S    (4a)
  -0.00690000000000   0.41240000000000   0.72120000000000    S    (4a)
   0.00690000000000   0.58760000000000   0.22120000000000    S    (4a)
   0.49310000000000   0.08760000000000   0.72120000000000    S    (4a)
   0.50690000000000  -0.08760000000000   0.22120000000000    S    (4a)
   0.16450000000000   0.04600000000000   0.87610000000000    S    (4a)
  -0.33550000000000   0.45400000000000   0.87610000000000    S    (4a)
   0.33550000000000   0.54600000000000   0.37610000000000    S    (4a)
   0.83550000000000  -0.04600000000000   0.37610000000000    S    (4a)"
C6Cr23,"Cr23C6 (
D
8
4
) Structure","A6B23_cF116_225_e_acfh & a,x3,x4,y5 --params=10.65,0.2765,0.6191,0.6699 & Fm(-3)m   O_h^5 #225 (acefh) & cF116 & D8_4 & Cr23C6 & & A. L. Bowman, G. P. Arnold, E. K. Storms and N. G. Nereson, Acta Cryst. B 28, 3102-3103 (1972)
   1.0000000000000000
   0.00000000000000   5.32500000000000   5.32500000000000
   5.32500000000000   0.00000000000000   5.32500000000000
   5.32500000000000   5.32500000000000   0.00000000000000
    C   Cr
    6   23
Direct
   0.27650000000000   0.27650000000000   0.72350000000000    C   (24e)
   0.27650000000000   0.72350000000000   0.27650000000000    C   (24e)
   0.27650000000000   0.72350000000000   0.72350000000000    C   (24e)
   0.72350000000000   0.27650000000000   0.27650000000000    C   (24e)
   0.72350000000000   0.27650000000000   0.72350000000000    C   (24e)
   0.72350000000000   0.72350000000000   0.27650000000000    C   (24e)
  -0.14270000000000   0.38090000000000   0.38090000000000   Cr   (32f)
   0.14270000000000   0.61910000000000   0.61910000000000   Cr   (32f)
   0.38090000000000  -0.14270000000000   0.38090000000000   Cr   (32f)
   0.38090000000000   0.38090000000000  -0.14270000000000   Cr   (32f)
   0.38090000000000   0.38090000000000   0.38090000000000   Cr   (32f)
   0.61910000000000   0.14270000000000   0.61910000000000   Cr   (32f)
   0.61910000000000   0.61910000000000   0.14270000000000   Cr   (32f)
   0.61910000000000   0.61910000000000   0.61910000000000   Cr   (32f)
   0.00000000000000   0.00000000000000   0.33980000000000   Cr   (48h)
   0.00000000000000   0.00000000000000   0.66020000000000   Cr   (48h)
   0.00000000000000   0.33980000000000   0.00000000000000   Cr   (48h)
   0.00000000000000   0.33980000000000   0.66020000000000   Cr   (48h)
   0.00000000000000   0.66020000000000   0.00000000000000   Cr   (48h)
   0.00000000000000   0.66020000000000   0.33980000000000   Cr   (48h)
   0.33980000000000   0.00000000000000   0.00000000000000   Cr   (48h)
   0.33980000000000   0.00000000000000   0.66020000000000   Cr   (48h)
   0.33980000000000   0.66020000000000   0.00000000000000   Cr   (48h)
   0.66020000000000   0.00000000000000   0.00000000000000   Cr   (48h)
   0.66020000000000   0.00000000000000   0.33980000000000   Cr   (48h)
   0.66020000000000   0.33980000000000   0.00000000000000   Cr   (48h)
   0.00000000000000   0.00000000000000   0.00000000000000   Cr    (4a)
   0.25000000000000   0.25000000000000   0.25000000000000   Cr    (8c)
   0.75000000000000   0.75000000000000   0.75000000000000   Cr    (8c)"
Fe7W6,"Fe7W6 (
D
8
5
)
μ
–phase","A7B6_hR13_166_ah_3c & a,c/a,x2,x3,x4,x5,z5 --params=4.757,5.4319949548,0.167,0.346,0.448,0.09,0.59001 & R(-3)m    D_{3d}^5 #166 (ac^3h) & hR13 & D8_5 & Fe7W6 & & H. Arnfelt, Jernkontorets Annaler 119, 185-187 (1935), quoted in Pearson's Handbook III, pp. 3415
   1.0000000000000000
   2.37850000000000  -1.37322761526800   8.61333333333300
   0.00000000000000   2.74645523053500   8.61333333333300
  -2.37850000000000  -1.37322761526800   8.61333333333300
   Fe    W
    7    6
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Fe    (1a)
  -0.09000000000000  -0.09000000000000   0.41000000000000   Fe    (6h)
   0.09000000000000   0.09000000000000   0.59000000000000   Fe    (6h)
  -0.09000000000000   0.41000000000000  -0.09000000000000   Fe    (6h)
   0.09000000000000   0.59000000000000   0.09000000000000   Fe    (6h)
   0.41000000000000  -0.09000000000000  -0.09000000000000   Fe    (6h)
   0.59000000000000   0.09000000000000   0.09000000000000   Fe    (6h)
   0.16700000000000   0.16700000000000   0.16700000000000    W    (2c)
   0.83300000000000   0.83300000000000   0.83300000000000    W    (2c)
   0.34600000000000   0.34600000000000   0.34600000000000    W    (2c)
   0.65400000000000   0.65400000000000   0.65400000000000    W    (2c)
   0.44800000000000   0.44800000000000   0.44800000000000    W    (2c)
   0.55200000000000   0.55200000000000   0.55200000000000    W    (2c)"
ReSi2,ReSi2 Structure,"AB2_oI6_71_a_i & a,b/a,c/a,z2 --params=3.144,0.994910941476,2.44179389313,0.339 & Immm      D_{2h}^{25} #71 (ai) & oI6 & & ReSi2 & & T. Siegrist, F. Hulliger and G. Travaglini, J. Less-Common Metals 92, 119-129 (1983)
   1.0000000000000000
  -1.56400000000000   1.57200000000000   3.83850000000000
   1.56400000000000  -1.57200000000000   3.83850000000000
   1.56400000000000   1.57200000000000  -3.83850000000000
   Re   Si
    1    2
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Re    (2a)
   0.33900000000000   0.33900000000000   0.00000000000000   Si    (4i)
   0.66100000000000   0.66100000000000   0.00000000000000   Si    (4i)"
AgAsMg,"Half–Heusler (
C
1
b
) Structure","ABC_cF12_216_b_c_a & a --params=6.24 & F(-4)3m   T_d^2 #216 (abc) & cF12 & C1_b & AgAsMg & Half-Heulser & H. Nowotny and W. Sibert, Z. Metallkd. 33, 391-394 (1941)
   1.0000000000000000
   0.00000000000000   3.12000000000000   3.12000000000000
   3.12000000000000   0.00000000000000   3.12000000000000
   3.12000000000000   3.12000000000000   0.00000000000000
   Ag   As   Mg
    1    1    1
Direct
   0.50000000000000   0.50000000000000   0.50000000000000   Ag    (4b)
   0.25000000000000   0.25000000000000   0.25000000000000   As    (4c)
   0.00000000000000   0.00000000000000   0.00000000000000   Mg    (4a)"
Sb2Tl7,"Sb2Tl7 (
L
2
2
) Structure","A2B7_cI54_229_e_afh & a,x2,x3,y4 --params=11.618,0.6862,0.1704,0.6503 & Im(-3)m   O_h^9 #229 (aefh) & cI54 & L2_2 & Sb2Tl7 & & R. Stokhuyzen, C. Cheih and W. B. Pearson, Can. J. Chem. 55, 1120-1122 (1977)
   1.0000000000000000
  -5.80900000000000   5.80900000000000   5.80900000000000
   5.80900000000000  -5.80900000000000   5.80900000000000
   5.80900000000000   5.80900000000000  -5.80900000000000
   Sb   Tl
    6   21
Direct
   0.00000000000000   0.31380000000000   0.31380000000000   Sb   (12e)
  -0.00000000000000   0.68620000000000   0.68620000000000   Sb   (12e)
   0.31380000000000   0.00000000000000   0.31380000000000   Sb   (12e)
   0.31380000000000   0.31380000000000   0.00000000000000   Sb   (12e)
   0.68620000000000  -0.00000000000000   0.68620000000000   Sb   (12e)
   0.68620000000000   0.68620000000000  -0.00000000000000   Sb   (12e)
   0.00000000000000   0.00000000000000   0.34080000000000   Tl   (16f)
   0.00000000000000   0.00000000000000   0.65920000000000   Tl   (16f)
   0.00000000000000   0.34080000000000   0.00000000000000   Tl   (16f)
   0.00000000000000   0.65920000000000   0.00000000000000   Tl   (16f)
   0.34080000000000   0.00000000000000   0.00000000000000   Tl   (16f)
   0.34080000000000   0.34080000000000   0.34080000000000   Tl   (16f)
   0.65920000000000   0.00000000000000   0.00000000000000   Tl   (16f)
   0.65920000000000   0.65920000000000   0.65920000000000   Tl   (16f)
   0.00000000000000   0.34970000000000   0.65030000000000   Tl   (24h)
   0.00000000000000   0.65030000000000   0.34970000000000   Tl   (24h)
   0.30060000000000   0.65030000000000   0.65030000000000   Tl   (24h)
   0.34970000000000   0.00000000000000   0.65030000000000   Tl   (24h)
   0.34970000000000   0.34970000000000   0.69940000000000   Tl   (24h)
   0.34970000000000   0.65030000000000   0.00000000000000   Tl   (24h)
   0.34970000000000   0.69940000000000   0.34970000000000   Tl   (24h)
   0.65030000000000   0.00000000000000   0.34970000000000   Tl   (24h)
   0.65030000000000   0.30060000000000   0.65030000000000   Tl   (24h)
   0.65030000000000   0.34970000000000   0.00000000000000   Tl   (24h)
   0.65030000000000   0.65030000000000   0.30060000000000   Tl   (24h)
   0.69940000000000   0.34970000000000   0.34970000000000   Tl   (24h)
   0.00000000000000   0.00000000000000   0.00000000000000   Tl    (2a)"
Al5C3N,"Al5C3N (
E
9
4
) Structure","A5B3C_hP18_186_2a3b_2ab_b & a,c/a,z1,z2,z3,z4,z5,z6,z7,z8,z9 --params=3.281,6.57726302956,0.155,0.345,0.0,0.248,0.045,0.261,0.455,0.367,0.137 & P6_3mc    C_{6v}^4 #186 (a^4b^5) & hP18 & E9_4 & Al5C3N & & G. A. Jeffrey and V. Y. Wu, Acta Cryst. 20, 538-547 (1966)
   1.0000000000000000
   1.64050000000000  -2.84142934981674   0.00000000000000
   1.64050000000000   2.84142934981674   0.00000000000000
   0.00000000000000   0.00000000000000  21.58000000000000
   Al    C    N
   10    6    2
Direct
   0.00000000000000   0.00000000000000   0.15500000000000   Al    (2a)
   0.00000000000000   0.00000000000000   0.65500000000000   Al    (2a)
   0.00000000000000   0.00000000000000   0.34500000000000   Al    (2a)
   0.00000000000000   0.00000000000000   0.84500000000000   Al    (2a)
   0.33333333333333   0.66666666666667   0.04500000000000   Al    (2b)
   0.66666666666667   0.33333333333333   0.54500000000000   Al    (2b)
   0.33333333333333   0.66666666666667   0.26100000000000   Al    (2b)
   0.66666666666667   0.33333333333333   0.76100000000000   Al    (2b)
   0.33333333333333   0.66666666666667   0.45500000000000   Al    (2b)
   0.66666666666667   0.33333333333333  -0.04500000000000   Al    (2b)
   0.00000000000000   0.00000000000000   0.00000000000000    C    (2a)
   0.00000000000000   0.00000000000000   0.50000000000000    C    (2a)
   0.00000000000000   0.00000000000000   0.24800000000000    C    (2a)
   0.00000000000000   0.00000000000000   0.74800000000000    C    (2a)
   0.33333333333333   0.66666666666667   0.36700000000000    C    (2b)
   0.66666666666667   0.33333333333333   0.86700000000000    C    (2b)
   0.33333333333333   0.66666666666667   0.13700000000000    N    (2b)
   0.66666666666667   0.33333333333333   0.63700000000000    N    (2b)"
HgS,"Cinnabar (
B9
) Structure","AB_hP6_154_a_b & a,c/a,x1,x2 --params=4.145,2.29095295537,0.7198,0.4889 & P3_221    D_3^6 #154 (ab) & hP6 & B9 & HgS & Cinnabar & P. Auvray and F. Genet, Bull. Soc. fr. MineÌral. Crystallogr. 96, 218-219 (1973)
   1.0000000000000000
   2.07250000000000  -3.58967529868600   0.00000000000000
   2.07250000000000   3.58967529868600   0.00000000000000
   0.00000000000000   0.00000000000000   9.49600000000000
   Hg    S
    3    3
Direct
   0.00000000000000   0.71980000000000   0.33333333333333   Hg    (3a)
   0.28020000000000   0.28020000000000   0.00000000000000   Hg    (3a)
   0.71980000000000   0.00000000000000   0.66666666666667   Hg    (3a)
   0.00000000000000   0.48890000000000   0.83333333333333    S    (3b)
   0.48890000000000   0.00000000000000   0.16666666666667    S    (3b)
   0.51110000000000   0.51110000000000   0.50000000000000    S    (3b)"
Al3Ti,"Al3Ti (
D
0
22
) Structure","A3B_tI8_139_bd_a & a,c/a --params=3.8537,2.22744375535 & I4/mmm    D_{4h}^{17} #139 (abd) & tI8 & D0_{22} & Al3Ti & & P. Norby and A. Norlund Christensen, Acta Chem. Scand. A 40, 157-159 (1986)
   1.0000000000000000
  -1.92685000000000   1.92685000000000   4.29195000000000
   1.92685000000000  -1.92685000000000   4.29195000000000
   1.92685000000000   1.92685000000000  -4.29195000000000
   Al   Ti
    3    1
Direct
   0.50000000000000   0.50000000000000   0.00000000000000   Al    (2b)
   0.25000000000000   0.75000000000000   0.50000000000000   Al    (4d)
   0.75000000000000   0.25000000000000   0.50000000000000   Al    (4d)
   0.00000000000000   0.00000000000000   0.00000000000000   Ti    (2a)"
C,Hypothetical Tetrahedrally Bonded Carbon with 4–Member Rings,"A_tI8_139_h & a,c/a,x1 --params=4.33184,0.574102459925,0.17916 & I4/mmm    D_{4h}^{17} #139 (h) & tI8 & & C & hypothetical 4-member ring structure & P. A. Schultz, K. Leung and E. B. Stechel, PRB 59, 733-741 (1999)
   1.0000000000000000
  -2.16592000000000   2.16592000000000   1.24346000000000
   2.16592000000000  -2.16592000000000   1.24346000000000
   2.16592000000000   2.16592000000000  -1.24346000000000
    C
    4
Direct
   0.17916000000000   0.17916000000000   0.35832000000000    C    (8h)
   0.17916000000000   0.82084000000000   0.00000000000000    C    (8h)
   0.82084000000000   0.17916000000000   0.00000000000000    C    (8h)
   0.82084000000000   0.82084000000000   0.64168000000000    C    (8h)"
AuCd,"β
′
–AuCd (
B19
) Structure","AB_oP4_51_e_f & a,b/a,c/a,z1,z2 --params=4.7549,0.661969757513,1.0209678437,0.8125,0.3125 & Pmma      D_{2h}^5 #51 (ef) & oP4 & B19 & AuCd (beta') & & L.-C. Chang, Acta Cryst., 320-324 (1951)
   1.0000000000000000
   4.75490000000000   0.00000000000000   0.00000000000000
   0.00000000000000   3.14760000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.85460000000000
   Au   Cd
    2    2
Direct
   0.25000000000000   0.00000000000000   0.81250000000000   Au    (2e)
   0.75000000000000   0.00000000000000   0.18750000000000   Au    (2e)
   0.25000000000000   0.50000000000000   0.31250000000000   Cd    (2f)
   0.75000000000000   0.50000000000000   0.68750000000000   Cd    (2f)"
MoNi4,"Ni4Mo (
D
1
a
) Structure","AB4_tI10_87_a_h & a,c/a,x2,y2 --params=5.72,0.623076923077,0.4,0.8 & I4/m      C_{2h}^5 #87 (ah) & tI10 & D1_a & Ni4Mo & & D. Harker, J. Chem. Phys. 12, 315 (1944)
   1.0000000000000000
  -2.86000000000000   2.86000000000000   1.78200000000000
   2.86000000000000  -2.86000000000000   1.78200000000000
   2.86000000000000   2.86000000000000  -1.78200000000000
   Mo   Ni
    1    4
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Mo    (2a)
   0.20000000000000   0.60000000000000   0.80000000000000   Ni    (8h)
   0.40000000000000   0.20000000000000   0.60000000000000   Ni    (8h)
   0.60000000000000   0.80000000000000   0.40000000000000   Ni    (8h)
   0.80000000000000   0.40000000000000   0.20000000000000   Ni    (8h)"
"Mg32(Al,Zn)49","Bergman [Mg32(Al,Zn)49,
D
8
e
] Structure","AB32C48_cI162_204_a_2efg_2gh & a,x2,x3,x4,y5,z5,y6,z6,y7,z7,x8,y8,z8 --params=14.16,0.8203,0.5998,0.1836,0.2942,0.8806,0.0908,0.8499,0.1748,0.6993,0.686,0.0969,0.332 & Im(-3)    T_h^5 #204 (ae^2fg^3h) & cI162 & $D8_{e}$ & Mg32(Al,Zn)49 & Bergman & G. Bergman, J. L. T. Waugh and L. Pauling, Acta Cryst. 10, 254-259 (1957)
   1.0000000000000000
  -7.08000000000000   7.08000000000000   7.08000000000000
   7.08000000000000  -7.08000000000000   7.08000000000000
   7.08000000000000   7.08000000000000  -7.08000000000000
   Al   Mg   Zn
    1   32   48
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Al    (2a)
   0.17970000000000   0.50000000000000   0.67970000000000   Mg   (12e)
   0.32030000000000   0.82030000000000   0.50000000000000   Mg   (12e)
   0.50000000000000   0.32030000000000   0.82030000000000   Mg   (12e)
   0.50000000000000   0.67970000000000   0.17970000000000   Mg   (12e)
   0.67970000000000   0.17970000000000   0.50000000000000   Mg   (12e)
   0.82030000000000   0.50000000000000   0.32030000000000   Mg   (12e)
  -0.09980000000000   0.40020000000000   0.50000000000000   Mg   (12e)
   0.09980000000000   0.59980000000000   0.50000000000000   Mg   (12e)
   0.40020000000000   0.50000000000000  -0.09980000000000   Mg   (12e)
   0.50000000000000  -0.09980000000000   0.40020000000000   Mg   (12e)
   0.50000000000000   0.09980000000000   0.59980000000000   Mg   (12e)
   0.59980000000000   0.50000000000000   0.09980000000000   Mg   (12e)
   0.00000000000000   0.00000000000000   0.36720000000000   Mg   (16f)
   0.00000000000000   0.00000000000000   0.63280000000000   Mg   (16f)
   0.00000000000000   0.36720000000000   0.00000000000000   Mg   (16f)
   0.00000000000000   0.63280000000000   0.00000000000000   Mg   (16f)
   0.36720000000000   0.00000000000000   0.00000000000000   Mg   (16f)
   0.36720000000000   0.36720000000000   0.36720000000000   Mg   (16f)
   0.63280000000000   0.00000000000000   0.00000000000000   Mg   (16f)
   0.63280000000000   0.63280000000000   0.63280000000000   Mg   (16f)
   0.11940000000000   0.29420000000000   0.41360000000000   Mg   (24g)
   0.11940000000000   0.70580000000000   0.82520000000000   Mg   (24g)
   0.17480000000000   0.88060000000000   0.29420000000000   Mg   (24g)
   0.29420000000000   0.17480000000000   0.88060000000000   Mg   (24g)
   0.29420000000000   0.41360000000000   0.11940000000000   Mg   (24g)
   0.41360000000000   0.11940000000000   0.29420000000000   Mg   (24g)
   0.58640000000000   0.88060000000000   0.70580000000000   Mg   (24g)
   0.70580000000000   0.58640000000000   0.88060000000000   Mg   (24g)
   0.70580000000000   0.82520000000000   0.11940000000000   Mg   (24g)
   0.82520000000000   0.11940000000000   0.70580000000000   Mg   (24g)
   0.88060000000000   0.29420000000000   0.17480000000000   Mg   (24g)
   0.88060000000000   0.70580000000000   0.58640000000000   Mg   (24g)
   0.05930000000000   0.15010000000000  -0.09080000000000   Zn   (24g)
  -0.05930000000000   0.84990000000000   0.09080000000000   Zn   (24g)
  -0.09080000000000   0.05930000000000   0.15010000000000   Zn   (24g)
   0.09080000000000  -0.05930000000000   0.84990000000000   Zn   (24g)
   0.09080000000000   0.24090000000000   0.15010000000000   Zn   (24g)
  -0.09080000000000   0.75910000000000   0.84990000000000   Zn   (24g)
   0.15010000000000  -0.09080000000000   0.05930000000000   Zn   (24g)
   0.15010000000000   0.09080000000000   0.24090000000000   Zn   (24g)
   0.24090000000000   0.15010000000000   0.09080000000000   Zn   (24g)
   0.75910000000000   0.84990000000000  -0.09080000000000   Zn   (24g)
   0.84990000000000   0.09080000000000  -0.05930000000000   Zn   (24g)
   0.84990000000000  -0.09080000000000   0.75910000000000   Zn   (24g)
   0.12590000000000   0.30070000000000   0.82520000000000   Zn   (24g)
   0.17480000000000   0.47550000000000   0.30070000000000   Zn   (24g)
   0.17480000000000   0.87410000000000   0.69930000000000   Zn   (24g)
   0.30070000000000   0.17480000000000   0.47550000000000   Zn   (24g)
   0.30070000000000   0.82520000000000   0.12590000000000   Zn   (24g)
   0.47550000000000   0.30070000000000   0.17480000000000   Zn   (24g)
   0.52450000000000   0.69930000000000   0.82520000000000   Zn   (24g)
   0.69930000000000   0.17480000000000   0.87410000000000   Zn   (24g)
   0.69930000000000   0.82520000000000   0.52450000000000   Zn   (24g)
   0.82520000000000   0.12590000000000   0.30070000000000   Zn   (24g)
   0.82520000000000   0.52450000000000   0.69930000000000   Zn   (24g)
   0.87410000000000   0.69930000000000   0.17480000000000   Zn   (24g)
  -0.01800000000000   0.21710000000000   0.57110000000000   Zn   (48h)
  -0.01800000000000   0.41090000000000   0.76490000000000   Zn   (48h)
   0.01800000000000   0.58910000000000   0.23510000000000   Zn   (48h)
   0.01800000000000   0.78290000000000   0.42890000000000   Zn   (48h)
   0.21710000000000   0.23510000000000   0.64600000000000   Zn   (48h)
   0.21710000000000   0.57110000000000  -0.01800000000000   Zn   (48h)
   0.23510000000000   0.01800000000000   0.58910000000000   Zn   (48h)
   0.23510000000000   0.64600000000000   0.21710000000000   Zn   (48h)
   0.35400000000000   0.58910000000000   0.57110000000000   Zn   (48h)
   0.35400000000000   0.78290000000000   0.76490000000000   Zn   (48h)
   0.41090000000000   0.42890000000000   0.64600000000000   Zn   (48h)
   0.41090000000000   0.76490000000000  -0.01800000000000   Zn   (48h)
   0.42890000000000   0.01800000000000   0.78290000000000   Zn   (48h)
   0.42890000000000   0.64600000000000   0.41090000000000   Zn   (48h)
   0.57110000000000  -0.01800000000000   0.21710000000000   Zn   (48h)
   0.57110000000000   0.35400000000000   0.58910000000000   Zn   (48h)
   0.58910000000000   0.23510000000000   0.01800000000000   Zn   (48h)
   0.58910000000000   0.57110000000000   0.35400000000000   Zn   (48h)
   0.64600000000000   0.21710000000000   0.23510000000000   Zn   (48h)
   0.64600000000000   0.41090000000000   0.42890000000000   Zn   (48h)
   0.76490000000000  -0.01800000000000   0.41090000000000   Zn   (48h)
   0.76490000000000   0.35400000000000   0.78290000000000   Zn   (48h)
   0.78290000000000   0.42890000000000   0.01800000000000   Zn   (48h)
   0.78290000000000   0.76490000000000   0.35400000000000   Zn   (48h)"
BaPtSb,BaPtSb Structure,"ABC_hP3_187_a_d_f & a,c/a --params=4.535,1.0769570011 & P(-6)m2   D_{3h}^1 #187 (adf) & hP3 & & BaPtSb & & G. Wenski and A. Mewis, Z. anorg. allg. Chem. 535, 110-122 (1986)
   1.0000000000000000
   2.26750000000000  -3.92742520616200   0.00000000000000
   2.26750000000000   3.92742520616200   0.00000000000000
   0.00000000000000   0.00000000000000   4.88400000000000
   Ba   Pt   Sb
    1    1    1
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Ba    (1a)
   0.33333333333333   0.66666666666667   0.50000000000000   Pt    (1d)
   0.66666666666667   0.33333333333333   0.50000000000000   Sb    (1f)"
